age,workclass,education,educationno,maritalstatus,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native
59, Private, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States
34, Private, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States
49, Private, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,56, United-States
18, Private, 11th,7, Never-married, Adm-clerical, Own-child, White, Female,0,0,20, United-States
43, Private, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Mexico
48, Private, 11th,7, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States
28, Self-emp-inc, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, United-States
33, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States
24, Private, Some-college,10, Never-married, Sales, Not-in-family, White, Female,0,0,15, United-States
21, Private, 10th,6, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States
17, Private, 11th,7, Never-married, Sales, Own-child, White, Male,0,0,28, United-States
39, Private, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States
29, Self-emp-not-inc, Bachelors,13, Separated, Prof-specialty, Own-child, White, Male,0,0,40, United-States
44, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States
24, Private, Some-college,10, Never-married, Transport-moving, Own-child, White, Male,0,0,50, United-States
71, Self-emp-not-inc, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,10605,0,40, United-States
51, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,2415,40, China
55, Private, 5th-6th,3, Divorced, Other-service, Unmarried, Black, Male,0,0,25, United-States
41, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States
23, Private, HS-grad,9, Never-married, Handlers-cleaners, Unmarried, Black, Female,0,0,7, United-States
38, Private, Assoc-voc,11, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States
39, Private, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States
19, Private, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,30, United-States
49, Private, 9th,5, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States
32, Private, Bachelors,13, Married-civ-spouse, Adm-clerical, Other-relative, White, Male,0,0,40, Philippines
27, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,70, United-States
38, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States
33, Private, Some-college,10, Married-civ-spouse, Craft-repair, Wife, White, Female,0,0,60, United-States
23, Private, Bachelors,13, Never-married, Exec-managerial, Own-child, White, Male,0,0,28, United-States
54, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, United-States
29, Private, Assoc-voc,11, Divorced, Tech-support, Not-in-family, White, Female,2174,0,45, United-States
35, Self-emp-not-inc, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States
28, Private, Assoc-voc,11, Married-civ-spouse, Adm-clerical, Wife, Asian-Pac-Islander, Female,0,0,40, India
37, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,7688,0,50, United-States
42, Self-emp-not-inc, Prof-school,15, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,65, United-States
40, Private, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States
47, Private, Some-college,10, Divorced, Sales, Own-child, White, Male,0,0,55, United-States
22, Private, Bachelors,13, Never-married, Exec-managerial, Own-child, White, Female,0,0,50, United-States
30, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States
28, Private, HS-grad,9, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States
63, Local-gov, 7th-8th,4, Married-civ-spouse, Other-service, Husband, White, Male,0,0,55, United-States
51, Self-emp-not-inc, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,20, United-States
22, Private, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,40, United-States
35, Private, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,0,0,45, United-States
46, Private, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,38, United-States
37, Private, Some-college,10, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,52, United-States
24, Private, Bachelors,13, Never-married, Prof-specialty, Own-child, Black, Male,0,0,15, United-States
37, Self-emp-not-inc, HS-grad,9, Divorced, Handlers-cleaners, Own-child, White, Male,0,0,10, United-States
53, Private, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States
27, Private, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,0,0,30, United-States
38, Private, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,0,0,44, United-States
53, Self-emp-not-inc, 10th,6, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States
34, Private, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States
23, Private, HS-grad,9, Never-married, Sales, Own-child, Black, Male,0,0,40, United-States
39, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,45, United-States
43, Private, Masters,14, Married-civ-spouse, Prof-specialty, Wife, Asian-Pac-Islander, Female,0,0,50, South
67, Self-emp-inc, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, United-States
81, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,30, United-States
21, Private, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States
23, Private, Some-college,10, Never-married, Sales, Not-in-family, White, Male,0,0,25, United-States
25, Private, Some-college,10, Never-married, Transport-moving, Unmarried, White, Male,0,0,40, United-States
42, Private, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,38, Mexico
38, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, Black, Female,0,0,40, United-States
32, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States
37, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States
51, Private, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States
22, Private, Some-college,10, Never-married, Sales, Not-in-family, White, Female,0,0,42, United-States
33, Private, 1st-4th,2, Married-spouse-absent, Priv-house-serv, Not-in-family, White, Female,0,0,40, Guatemala
42, Private, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,55, United-States
51, Local-gov, Preschool,1, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States
23, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, Mexico
37, Private, 11th,7, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,3103,0,44, United-States
37, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,99, United-States
47, Private, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,25, United-States
41, Private, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,2415,40, United-States
33, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,30, United-States
31, Private, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States
31, Private, Assoc-acdm,12, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States
35, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, United-States
38, Self-emp-inc, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States
18, Private, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,0,45, United-States
20, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States
54, Local-gov, Some-college,10, Divorced, Exec-managerial, Unmarried, Black, Female,0,0,35, United-States
40, Private, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States
36, Self-emp-inc, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,1977,45, United-States
43, Private, Some-college,10, Divorced, Craft-repair, Unmarried, White, Male,0,0,35, United-States
44, Self-emp-not-inc, Some-college,10, Divorced, Farming-fishing, Unmarried, White, Male,0,0,40, United-States
44, State-gov, HS-grad,9, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States
43, Private, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,43, United-States
51, Private, 7th-8th,4, Widowed, Other-service, Unmarried, Black, Female,0,0,40, United-States
18, Private, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States
51, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States
44, Self-emp-inc, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,70, United-States
33, Local-gov, 10th,6, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States
33, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States
42, Private, Assoc-acdm,12, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States
25, Private, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States
32, Private, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,38, United-States
32, Private, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,70, Mexico
36, Private, 10th,6, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States
28, Private, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States
20, Private, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States
35, Self-emp-inc, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States
55, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,20, United-States
48, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, India
34, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States
28, Private, Bachelors,13, Never-married, Tech-support, Not-in-family, White, Female,0,0,35, United-States
67, Private, Bachelors,13, Widowed, Exec-managerial, Not-in-family, White, Male,0,2392,40, United-States
37, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
44, Private, HS-grad,9, Never-married, Transport-moving, Unmarried, White, Male,0,0,70, United-States
25, Private, Some-college,10, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States
21, Private, Some-college,10, Never-married, Exec-managerial, Not-in-family, White, Female,4101,0,40, United-States
40, State-gov, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, United-States
78, Private, HS-grad,9, Widowed, Other-service, Not-in-family, Black, Female,2964,0,40, United-States
34, Private, HS-grad,9, Divorced, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States
49, Private, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,44, United-States
22, Private, Assoc-acdm,12, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States
60, Self-emp-not-inc, HS-grad,9, Never-married, Farming-fishing, Unmarried, White, Male,0,0,42, United-States
45, Local-gov, HS-grad,9, Widowed, Protective-serv, Not-in-family, White, Male,0,0,40, United-States
63, Private, Assoc-voc,11, Divorced, Other-service, Not-in-family, White, Female,0,0,20, United-States
41, Private, HS-grad,9, Never-married, Craft-repair, Own-child, Black, Female,0,0,35, United-States
47, Private, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States
44, Private, HS-grad,9, Divorced, Craft-repair, Unmarried, White, Male,0,0,40, United-States
51, Private, Some-college,10, Widowed, Prof-specialty, Not-in-family, White, Female,3325,0,40, United-States
46, Private, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,0,1504,40, United-States
41, Private, Assoc-voc,11, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States
50, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,30, United-States
47, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,50, United-States
35, Private, HS-grad,9, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,45, United-States
56, Private, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,55, United-States
45, Private, Masters,14, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,45, United-States
48, Federal-gov, Bachelors,13, Divorced, Exec-managerial, Unmarried, White, Male,0,0,58, United-States
40, Private, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,2580,0,40, United-States
39, Self-emp-inc, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,50, United-States
20, Private, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States
50, Private, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,65, United-States
38, State-gov, HS-grad,9, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States
23, Local-gov, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Female,0,0,60, United-States
31, Private, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,0,16, United-States
58, Private, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States
66, Private, HS-grad,9, Separated, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, United-States
39, Self-emp-inc, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States
